"year","sex","ageGroup","population","order"
1970,"FM","0",203,101
1970,"FM","1",203,100
1970,"FM","2",205,99
1970,"FM","3",207,98
1970,"FM","4",210,97
1970,"FM","5",210,96
1970,"FM","6",209,95
1970,"FM","7",207,94
1970,"FM","8",204,93
1970,"FM","9",200,92
1970,"FM","10",197,91
1970,"FM","11",194,90
1970,"FM","12",193,89
1970,"FM","13",190,88
1970,"FM","14",186,87
1970,"FM","15",182,86
1970,"FM","16",176,85
1970,"FM","17",169,84
1970,"FM","18",162,83
1970,"FM","19",152,82
1970,"FM","20",139,81
1970,"FM","21",127,80
1970,"FM","22",120,79
1970,"FM","23",113,78
1970,"FM","24",109,77
1970,"FM","25",106,76
1970,"FM","26",103,75
1970,"FM","27",101,74
1970,"FM","28",99,73
1970,"FM","29",98,72
1970,"FM","30",98,71
1970,"FM","31",98,70
1970,"FM","32",97,69
1970,"FM","33",94,68
1970,"FM","34",91,67
1970,"FM","35",87,66
1970,"FM","36",84,65
1970,"FM","37",81,64
1970,"FM","38",79,63
1970,"FM","39",77,62
1970,"FM","40",75,61
1970,"FM","41",73,60
1970,"FM","42",71,59
1970,"FM","43",68,58
1970,"FM","44",65,57
1970,"FM","45",62,56
1970,"FM","46",59,55
1970,"FM","47",56,54
1970,"FM","48",54,53
1970,"FM","49",52,52
1970,"FM","50",50,51
1970,"FM","51",48,50
1970,"FM","52",46,49
1970,"FM","53",45,48
1970,"FM","54",43,47
1970,"FM","55",42,46
1970,"FM","56",40,45
1970,"FM","57",39,44
1970,"FM","58",37,43
1970,"FM","59",34,42
1970,"FM","60",31,41
1970,"FM","61",29,40
1970,"FM","62",26,39
1970,"FM","63",25,38
1970,"FM","64",24,37
1970,"FM","65",23,36
1970,"FM","66",21,35
1970,"FM","67",20,34
1970,"FM","68",19,33
1970,"FM","69",17,32
1970,"FM","70",15,31
1970,"FM","71",14,30
1970,"FM","72",12,29
1970,"FM","73",11,28
1970,"FM","74",10,27
1970,"FM","75",9,26
1970,"FM","76",8,25
1970,"FM","77",7,24
1970,"FM","78",6,23
1970,"FM","79",6,22
1970,"FM","80",5,21
1970,"FM","81",4,20
1970,"FM","82",4,19
1970,"FM","83",3,18
1970,"FM","84",2,17
1970,"FM","85",2,16
1970,"FM","86",1,15
1970,"FM","87",1,14
1970,"FM","88",1,13
1970,"FM","89",1,12
1970,"FM","90",0,11
1970,"FM","91",0,10
1970,"FM","92",0,9
1970,"FM","93",0,8
1970,"FM","94",0,7
1970,"FM","95",0,6
1970,"FM","96",0,5
1970,"FM","97",0,4
1970,"FM","98",0,3
1970,"FM","99",0,2
1970,"FM","100+",0,1
1970,"M","0",217,101
1970,"M","1",218,100
1970,"M","2",220,99
1970,"M","3",222,98
1970,"M","4",223,97
1970,"M","5",224,96
1970,"M","6",223,95
1970,"M","7",220,94
1970,"M","8",217,93
1970,"M","9",213,92
1970,"M","10",209,91
1970,"M","11",206,90
1970,"M","12",204,89
1970,"M","13",201,88
1970,"M","14",198,87
1970,"M","15",193,86
1970,"M","16",186,85
1970,"M","17",179,84
1970,"M","18",170,83
1970,"M","19",161,82
1970,"M","20",145,81
1970,"M","21",132,80
1970,"M","22",124,79
1970,"M","23",117,78
1970,"M","24",112,77
1970,"M","25",108,76
1970,"M","26",105,75
1970,"M","27",103,74
1970,"M","28",101,73
1970,"M","29",100,72
1970,"M","30",99,71
1970,"M","31",98,70
1970,"M","32",97,69
1970,"M","33",94,68
1970,"M","34",90,67
1970,"M","35",86,66
1970,"M","36",83,65
1970,"M","37",81,64
1970,"M","38",80,63
1970,"M","39",80,62
1970,"M","40",79,61
1970,"M","41",79,60
1970,"M","42",78,59
1970,"M","43",77,58
1970,"M","44",74,57
1970,"M","45",72,56
1970,"M","46",70,55
1970,"M","47",68,54
1970,"M","48",65,53
1970,"M","49",63,52
1970,"M","50",61,51
1970,"M","51",59,50
1970,"M","52",56,49
1970,"M","53",54,48
1970,"M","54",52,47
1970,"M","55",49,46
1970,"M","56",47,45
1970,"M","57",44,44
1970,"M","58",41,43
1970,"M","59",38,42
1970,"M","60",35,41
1970,"M","61",31,40
1970,"M","62",28,39
1970,"M","63",26,38
1970,"M","64",24,37
1970,"M","65",22,36
1970,"M","66",21,35
1970,"M","67",19,34
1970,"M","68",17,33
1970,"M","69",15,32
1970,"M","70",13,31
1970,"M","71",11,30
1970,"M","72",9,29
1970,"M","73",8,28
1970,"M","74",7,27
1970,"M","75",6,26
1970,"M","76",5,25
1970,"M","77",4,24
1970,"M","78",4,23
1970,"M","79",3,22
1970,"M","80",2,21
1970,"M","81",2,20
1970,"M","82",1,19
1970,"M","83",1,18
1970,"M","84",1,17
1970,"M","85",1,16
1970,"M","86",0,15
1970,"M","87",0,14
1970,"M","88",0,13
1970,"M","89",0,12
1970,"M","90",0,11
1970,"M","91",0,10
1970,"M","92",0,9
1970,"M","93",0,8
1970,"M","94",0,7
1970,"M","95",0,6
1970,"M","96",0,5
1970,"M","97",0,4
1970,"M","98",0,3
1970,"M","99",0,2
1970,"M","100+",0,1
