"year","sex","ageGroup","population","order"
1956,"FM","0",197,101
1956,"FM","1",189,100
1956,"FM","2",180,99
1956,"FM","3",172,98
1956,"FM","4",163,97
1956,"FM","5",154,96
1956,"FM","6",139,95
1956,"FM","7",127,94
1956,"FM","8",120,93
1956,"FM","9",113,92
1956,"FM","10",108,91
1956,"FM","11",104,90
1956,"FM","12",101,89
1956,"FM","13",99,88
1956,"FM","14",97,87
1956,"FM","15",95,86
1956,"FM","16",94,85
1956,"FM","17",94,84
1956,"FM","18",93,83
1956,"FM","19",91,82
1956,"FM","20",87,81
1956,"FM","21",84,80
1956,"FM","22",82,79
1956,"FM","23",79,78
1956,"FM","24",77,77
1956,"FM","25",76,76
1956,"FM","26",74,75
1956,"FM","27",72,74
1956,"FM","28",70,73
1956,"FM","29",68,72
1956,"FM","30",65,71
1956,"FM","31",62,70
1956,"FM","32",59,69
1956,"FM","33",57,68
1956,"FM","34",55,67
1956,"FM","35",53,66
1956,"FM","36",52,65
1956,"FM","37",50,64
1956,"FM","38",49,63
1956,"FM","39",47,62
1956,"FM","40",46,61
1956,"FM","41",45,60
1956,"FM","42",43,59
1956,"FM","43",42,58
1956,"FM","44",40,57
1956,"FM","45",37,56
1956,"FM","46",35,55
1956,"FM","47",33,54
1956,"FM","48",31,53
1956,"FM","49",29,52
1956,"FM","50",28,51
1956,"FM","51",28,50
1956,"FM","52",27,49
1956,"FM","53",26,48
1956,"FM","54",24,47
1956,"FM","55",22,46
1956,"FM","56",21,45
1956,"FM","57",19,44
1956,"FM","58",18,43
1956,"FM","59",17,42
1956,"FM","60",16,41
1956,"FM","61",16,40
1956,"FM","62",15,39
1956,"FM","63",14,38
1956,"FM","64",14,37
1956,"FM","65",13,36
1956,"FM","66",12,35
1956,"FM","67",12,34
1956,"FM","68",11,33
1956,"FM","69",10,32
1956,"FM","70",9,31
1956,"FM","71",8,30
1956,"FM","72",7,29
1956,"FM","73",7,28
1956,"FM","74",6,27
1956,"FM","75",5,26
1956,"FM","76",5,25
1956,"FM","77",4,24
1956,"FM","78",3,23
1956,"FM","79",3,22
1956,"FM","80",2,21
1956,"FM","81",2,20
1956,"FM","82",2,19
1956,"FM","83",1,18
1956,"FM","84",1,17
1956,"FM","85",1,16
1956,"FM","86",1,15
1956,"FM","87",0,14
1956,"FM","88",0,13
1956,"FM","89",0,12
1956,"FM","90",0,11
1956,"FM","91",0,10
1956,"FM","92",0,9
1956,"FM","93",0,8
1956,"FM","94",0,7
1956,"FM","95",0,6
1956,"FM","96",0,5
1956,"FM","97",0,4
1956,"FM","98",0,3
1956,"FM","99",0,2
1956,"FM","100+",0,1
1956,"M","0",207,101
1956,"M","1",199,100
1956,"M","2",190,99
1956,"M","3",181,98
1956,"M","4",172,97
1956,"M","5",162,96
1956,"M","6",146,95
1956,"M","7",132,94
1956,"M","8",123,93
1956,"M","9",116,92
1956,"M","10",111,91
1956,"M","11",107,90
1956,"M","12",104,89
1956,"M","13",101,88
1956,"M","14",99,87
1956,"M","15",97,86
1956,"M","16",96,85
1956,"M","17",95,84
1956,"M","18",94,83
1956,"M","19",91,82
1956,"M","20",87,81
1956,"M","21",83,80
1956,"M","22",80,79
1956,"M","23",77,78
1956,"M","24",76,77
1956,"M","25",76,76
1956,"M","26",76,75
1956,"M","27",75,74
1956,"M","28",75,73
1956,"M","29",74,72
1956,"M","30",72,71
1956,"M","31",71,70
1956,"M","32",69,69
1956,"M","33",68,68
1956,"M","34",67,67
1956,"M","35",65,66
1956,"M","36",64,65
1956,"M","37",62,64
1956,"M","38",61,63
1956,"M","39",59,62
1956,"M","40",57,61
1956,"M","41",55,60
1956,"M","42",53,59
1956,"M","43",50,58
1956,"M","44",48,57
1956,"M","45",45,56
1956,"M","46",42,55
1956,"M","47",39,54
1956,"M","48",36,53
1956,"M","49",34,52
1956,"M","50",33,51
1956,"M","51",31,50
1956,"M","52",29,49
1956,"M","53",28,48
1956,"M","54",26,47
1956,"M","55",23,46
1956,"M","56",21,45
1956,"M","57",19,44
1956,"M","58",18,43
1956,"M","59",16,42
1956,"M","60",15,41
1956,"M","61",14,40
1956,"M","62",14,39
1956,"M","63",13,38
1956,"M","64",11,37
1956,"M","65",10,36
1956,"M","66",9,35
1956,"M","67",8,34
1956,"M","68",7,33
1956,"M","69",6,32
1956,"M","70",5,31
1956,"M","71",5,30
1956,"M","72",4,29
1956,"M","73",3,28
1956,"M","74",3,27
1956,"M","75",2,26
1956,"M","76",2,25
1956,"M","77",2,24
1956,"M","78",1,23
1956,"M","79",1,22
1956,"M","80",1,21
1956,"M","81",1,20
1956,"M","82",0,19
1956,"M","83",0,18
1956,"M","84",0,17
1956,"M","85",0,16
1956,"M","86",0,15
1956,"M","87",0,14
1956,"M","88",0,13
1956,"M","89",0,12
1956,"M","90",0,11
1956,"M","91",0,10
1956,"M","92",0,9
1956,"M","93",0,8
1956,"M","94",0,7
1956,"M","95",0,6
1956,"M","96",0,5
1956,"M","97",0,4
1956,"M","98",0,3
1956,"M","99",0,2
1956,"M","100+",0,1
