"year","sex","ageGroup","population","order"
2064,"FM","0",68,101
2064,"FM","1",68,100
2064,"FM","2",69,99
2064,"FM","3",69,98
2064,"FM","4",70,97
2064,"FM","5",70,96
2064,"FM","6",71,95
2064,"FM","7",71,94
2064,"FM","8",72,93
2064,"FM","9",72,92
2064,"FM","10",72,91
2064,"FM","11",72,90
2064,"FM","12",72,89
2064,"FM","13",72,88
2064,"FM","14",72,87
2064,"FM","15",72,86
2064,"FM","16",73,85
2064,"FM","17",73,84
2064,"FM","18",74,83
2064,"FM","19",74,82
2064,"FM","20",75,81
2064,"FM","21",76,80
2064,"FM","22",77,79
2064,"FM","23",78,78
2064,"FM","24",80,77
2064,"FM","25",82,76
2064,"FM","26",84,75
2064,"FM","27",86,74
2064,"FM","28",88,73
2064,"FM","29",90,72
2064,"FM","30",91,71
2064,"FM","31",93,70
2064,"FM","32",95,69
2064,"FM","33",96,68
2064,"FM","34",97,67
2064,"FM","35",98,66
2064,"FM","36",98,65
2064,"FM","37",99,64
2064,"FM","38",99,63
2064,"FM","39",100,62
2064,"FM","40",100,61
2064,"FM","41",100,60
2064,"FM","42",99,59
2064,"FM","43",100,58
2064,"FM","44",100,57
2064,"FM","45",102,56
2064,"FM","46",105,55
2064,"FM","47",109,54
2064,"FM","48",112,53
2064,"FM","49",114,52
2064,"FM","50",113,51
2064,"FM","51",113,50
2064,"FM","52",109,49
2064,"FM","53",103,48
2064,"FM","54",101,47
2064,"FM","55",101,46
2064,"FM","56",102,45
2064,"FM","57",104,44
2064,"FM","58",107,43
2064,"FM","59",110,42
2064,"FM","60",114,41
2064,"FM","61",120,40
2064,"FM","62",126,39
2064,"FM","63",134,38
2064,"FM","64",141,37
2064,"FM","65",147,36
2064,"FM","66",151,35
2064,"FM","67",154,34
2064,"FM","68",156,33
2064,"FM","69",157,32
2064,"FM","70",156,31
2064,"FM","71",155,30
2064,"FM","72",152,29
2064,"FM","73",149,28
2064,"FM","74",147,27
2064,"FM","75",146,26
2064,"FM","76",148,25
2064,"FM","77",151,24
2064,"FM","78",155,23
2064,"FM","79",160,22
2064,"FM","80",163,21
2064,"FM","81",164,20
2064,"FM","82",164,19
2064,"FM","83",162,18
2064,"FM","84",158,17
2064,"FM","85",151,16
2064,"FM","86",143,15
2064,"FM","87",132,14
2064,"FM","88",120,13
2064,"FM","89",107,12
2064,"FM","90",97,11
2064,"FM","91",87,10
2064,"FM","92",79,9
2064,"FM","93",71,8
2064,"FM","94",64,7
2064,"FM","95",56,6
2064,"FM","96",49,5
2064,"FM","97",41,4
2064,"FM","98",34,3
2064,"FM","99",27,2
2064,"FM","100+",74,1
2064,"M","0",72,101
2064,"M","1",73,100
2064,"M","2",73,99
2064,"M","3",74,98
2064,"M","4",74,97
2064,"M","5",75,96
2064,"M","6",75,95
2064,"M","7",76,94
2064,"M","8",76,93
2064,"M","9",77,92
2064,"M","10",77,91
2064,"M","11",77,90
2064,"M","12",77,89
2064,"M","13",77,88
2064,"M","14",77,87
2064,"M","15",77,86
2064,"M","16",77,85
2064,"M","17",78,84
2064,"M","18",78,83
2064,"M","19",78,82
2064,"M","20",79,81
2064,"M","21",80,80
2064,"M","22",81,79
2064,"M","23",83,78
2064,"M","24",84,77
2064,"M","25",86,76
2064,"M","26",88,75
2064,"M","27",90,74
2064,"M","28",92,73
2064,"M","29",94,72
2064,"M","30",96,71
2064,"M","31",98,70
2064,"M","32",99,69
2064,"M","33",100,68
2064,"M","34",102,67
2064,"M","35",103,66
2064,"M","36",103,65
2064,"M","37",104,64
2064,"M","38",104,63
2064,"M","39",105,62
2064,"M","40",105,61
2064,"M","41",105,60
2064,"M","42",104,59
2064,"M","43",105,58
2064,"M","44",105,57
2064,"M","45",107,56
2064,"M","46",110,55
2064,"M","47",115,54
2064,"M","48",118,53
2064,"M","49",119,52
2064,"M","50",118,51
2064,"M","51",118,50
2064,"M","52",114,49
2064,"M","53",107,48
2064,"M","54",105,47
2064,"M","55",106,46
2064,"M","56",107,45
2064,"M","57",108,44
2064,"M","58",111,43
2064,"M","59",114,42
2064,"M","60",118,41
2064,"M","61",123,40
2064,"M","62",129,39
2064,"M","63",136,38
2064,"M","64",143,37
2064,"M","65",148,36
2064,"M","66",152,35
2064,"M","67",154,34
2064,"M","68",155,33
2064,"M","69",154,32
2064,"M","70",153,31
2064,"M","71",151,30
2064,"M","72",149,29
2064,"M","73",146,28
2064,"M","74",143,27
2064,"M","75",140,26
2064,"M","76",139,25
2064,"M","77",139,24
2064,"M","78",140,23
2064,"M","79",140,22
2064,"M","80",139,21
2064,"M","81",137,20
2064,"M","82",134,19
2064,"M","83",129,18
2064,"M","84",123,17
2064,"M","85",115,16
2064,"M","86",105,15
2064,"M","87",94,14
2064,"M","88",82,13
2064,"M","89",70,12
2064,"M","90",61,11
2064,"M","91",53,10
2064,"M","92",46,9
2064,"M","93",39,8
2064,"M","94",34,7
2064,"M","95",28,6
2064,"M","96",23,5
2064,"M","97",18,4
2064,"M","98",13,3
2064,"M","99",10,2
2064,"M","100+",20,1
