"year","sex","ageGroup","population","order"
2003,"FM","0",118,101
2003,"FM","1",122,100
2003,"FM","2",131,99
2003,"FM","3",139,98
2003,"FM","4",143,97
2003,"FM","5",147,96
2003,"FM","6",150,95
2003,"FM","7",153,94
2003,"FM","8",154,93
2003,"FM","9",155,92
2003,"FM","10",154,91
2003,"FM","11",153,90
2003,"FM","12",151,89
2003,"FM","13",150,88
2003,"FM","14",150,87
2003,"FM","15",153,86
2003,"FM","16",159,85
2003,"FM","17",166,84
2003,"FM","18",175,83
2003,"FM","19",182,82
2003,"FM","20",189,81
2003,"FM","21",196,80
2003,"FM","22",201,79
2003,"FM","23",204,78
2003,"FM","24",205,77
2003,"FM","25",203,76
2003,"FM","26",198,75
2003,"FM","27",191,74
2003,"FM","28",184,73
2003,"FM","29",178,72
2003,"FM","30",176,71
2003,"FM","31",176,70
2003,"FM","32",178,69
2003,"FM","33",182,68
2003,"FM","34",185,67
2003,"FM","35",187,66
2003,"FM","36",189,65
2003,"FM","37",191,64
2003,"FM","38",191,63
2003,"FM","39",191,62
2003,"FM","40",190,61
2003,"FM","41",188,60
2003,"FM","42",186,59
2003,"FM","43",183,58
2003,"FM","44",180,57
2003,"FM","45",178,56
2003,"FM","46",176,55
2003,"FM","47",174,54
2003,"FM","48",171,53
2003,"FM","49",166,52
2003,"FM","50",158,51
2003,"FM","51",147,50
2003,"FM","52",134,49
2003,"FM","53",121,48
2003,"FM","54",109,47
2003,"FM","55",100,46
2003,"FM","56",93,45
2003,"FM","57",88,44
2003,"FM","58",84,43
2003,"FM","59",82,42
2003,"FM","60",80,41
2003,"FM","61",79,40
2003,"FM","62",78,39
2003,"FM","63",78,38
2003,"FM","64",77,37
2003,"FM","65",75,36
2003,"FM","66",72,35
2003,"FM","67",69,34
2003,"FM","68",66,33
2003,"FM","69",62,32
2003,"FM","70",59,31
2003,"FM","71",56,30
2003,"FM","72",54,29
2003,"FM","73",51,28
2003,"FM","74",48,27
2003,"FM","75",45,26
2003,"FM","76",42,25
2003,"FM","77",39,24
2003,"FM","78",36,23
2003,"FM","79",32,22
2003,"FM","80",29,21
2003,"FM","81",26,20
2003,"FM","82",23,19
2003,"FM","83",20,18
2003,"FM","84",17,17
2003,"FM","85",14,16
2003,"FM","86",12,15
2003,"FM","87",10,14
2003,"FM","88",9,13
2003,"FM","89",7,12
2003,"FM","90",6,11
2003,"FM","91",5,10
2003,"FM","92",4,9
2003,"FM","93",3,8
2003,"FM","94",2,7
2003,"FM","95",2,6
2003,"FM","96",1,5
2003,"FM","97",1,4
2003,"FM","98",1,3
2003,"FM","99",0,2
2003,"FM","100+",1,1
2003,"M","0",129,101
2003,"M","1",133,100
2003,"M","2",142,99
2003,"M","3",150,98
2003,"M","4",156,97
2003,"M","5",160,96
2003,"M","6",163,95
2003,"M","7",166,94
2003,"M","8",167,93
2003,"M","9",168,92
2003,"M","10",168,91
2003,"M","11",167,90
2003,"M","12",165,89
2003,"M","13",163,88
2003,"M","14",163,87
2003,"M","15",166,86
2003,"M","16",171,85
2003,"M","17",178,84
2003,"M","18",185,83
2003,"M","19",192,82
2003,"M","20",198,81
2003,"M","21",203,80
2003,"M","22",207,79
2003,"M","23",209,78
2003,"M","24",209,77
2003,"M","25",207,76
2003,"M","26",202,75
2003,"M","27",194,74
2003,"M","28",187,73
2003,"M","29",182,72
2003,"M","30",179,71
2003,"M","31",180,70
2003,"M","32",183,69
2003,"M","33",187,68
2003,"M","34",191,67
2003,"M","35",194,66
2003,"M","36",196,65
2003,"M","37",197,64
2003,"M","38",198,63
2003,"M","39",197,62
2003,"M","40",196,61
2003,"M","41",194,60
2003,"M","42",191,59
2003,"M","43",187,58
2003,"M","44",184,57
2003,"M","45",181,56
2003,"M","46",179,55
2003,"M","47",177,54
2003,"M","48",173,53
2003,"M","49",168,52
2003,"M","50",159,51
2003,"M","51",148,50
2003,"M","52",135,49
2003,"M","53",121,48
2003,"M","54",109,47
2003,"M","55",100,46
2003,"M","56",93,45
2003,"M","57",88,44
2003,"M","58",84,43
2003,"M","59",81,42
2003,"M","60",79,41
2003,"M","61",77,40
2003,"M","62",76,39
2003,"M","63",74,38
2003,"M","64",73,37
2003,"M","65",71,36
2003,"M","66",68,35
2003,"M","67",65,34
2003,"M","68",63,33
2003,"M","69",61,32
2003,"M","70",60,31
2003,"M","71",59,30
2003,"M","72",59,29
2003,"M","73",59,28
2003,"M","74",57,27
2003,"M","75",55,26
2003,"M","76",51,25
2003,"M","77",46,24
2003,"M","78",41,23
2003,"M","79",36,22
2003,"M","80",31,21
2003,"M","81",26,20
2003,"M","82",22,19
2003,"M","83",18,18
2003,"M","84",15,17
2003,"M","85",12,16
2003,"M","86",10,15
2003,"M","87",8,14
2003,"M","88",6,13
2003,"M","89",5,12
2003,"M","90",4,11
2003,"M","91",3,10
2003,"M","92",2,9
2003,"M","93",2,8
2003,"M","94",1,7
2003,"M","95",1,6
2003,"M","96",1,5
2003,"M","97",0,4
2003,"M","98",0,3
2003,"M","99",0,2
2003,"M","100+",0,1
