"year","sex","ageGroup","population","order"
2012,"FM","0",100,101
2012,"FM","1",93,100
2012,"FM","2",92,99
2012,"FM","3",92,98
2012,"FM","4",94,97
2012,"FM","5",96,96
2012,"FM","6",99,95
2012,"FM","7",102,94
2012,"FM","8",107,93
2012,"FM","9",113,92
2012,"FM","10",120,91
2012,"FM","11",128,90
2012,"FM","12",136,89
2012,"FM","13",142,88
2012,"FM","14",148,87
2012,"FM","15",152,86
2012,"FM","16",154,85
2012,"FM","17",156,84
2012,"FM","18",157,83
2012,"FM","19",157,82
2012,"FM","20",156,81
2012,"FM","21",154,80
2012,"FM","22",154,79
2012,"FM","23",155,78
2012,"FM","24",159,77
2012,"FM","25",165,76
2012,"FM","26",174,75
2012,"FM","27",183,74
2012,"FM","28",191,73
2012,"FM","29",198,72
2012,"FM","30",204,71
2012,"FM","31",208,70
2012,"FM","32",211,69
2012,"FM","33",211,68
2012,"FM","34",209,67
2012,"FM","35",203,66
2012,"FM","36",196,65
2012,"FM","37",188,64
2012,"FM","38",182,63
2012,"FM","39",179,62
2012,"FM","40",179,61
2012,"FM","41",181,60
2012,"FM","42",183,59
2012,"FM","43",186,58
2012,"FM","44",188,57
2012,"FM","45",189,56
2012,"FM","46",190,55
2012,"FM","47",190,54
2012,"FM","48",189,53
2012,"FM","49",188,52
2012,"FM","50",186,51
2012,"FM","51",183,50
2012,"FM","52",180,49
2012,"FM","53",177,48
2012,"FM","54",175,47
2012,"FM","55",173,46
2012,"FM","56",171,45
2012,"FM","57",167,44
2012,"FM","58",162,43
2012,"FM","59",153,42
2012,"FM","60",142,41
2012,"FM","61",129,40
2012,"FM","62",115,39
2012,"FM","63",104,38
2012,"FM","64",95,37
2012,"FM","65",89,36
2012,"FM","66",85,35
2012,"FM","67",82,34
2012,"FM","68",79,33
2012,"FM","69",76,32
2012,"FM","70",73,31
2012,"FM","71",70,30
2012,"FM","72",66,29
2012,"FM","73",63,28
2012,"FM","74",60,27
2012,"FM","75",57,26
2012,"FM","76",53,25
2012,"FM","77",50,24
2012,"FM","78",47,23
2012,"FM","79",44,22
2012,"FM","80",41,21
2012,"FM","81",38,20
2012,"FM","82",35,19
2012,"FM","83",32,18
2012,"FM","84",29,17
2012,"FM","85",26,16
2012,"FM","86",23,15
2012,"FM","87",20,14
2012,"FM","88",18,13
2012,"FM","89",15,12
2012,"FM","90",13,11
2012,"FM","91",11,10
2012,"FM","92",9,9
2012,"FM","93",8,8
2012,"FM","94",6,7
2012,"FM","95",5,6
2012,"FM","96",4,5
2012,"FM","97",3,4
2012,"FM","98",2,3
2012,"FM","99",2,2
2012,"FM","100+",3,1
2012,"M","0",108,101
2012,"M","1",101,100
2012,"M","2",99,99
2012,"M","3",100,98
2012,"M","4",102,97
2012,"M","5",104,96
2012,"M","6",107,95
2012,"M","7",111,94
2012,"M","8",116,93
2012,"M","9",123,92
2012,"M","10",130,91
2012,"M","11",139,90
2012,"M","12",147,89
2012,"M","13",154,88
2012,"M","14",160,87
2012,"M","15",164,86
2012,"M","16",166,85
2012,"M","17",168,84
2012,"M","18",169,83
2012,"M","19",169,82
2012,"M","20",169,81
2012,"M","21",168,80
2012,"M","22",168,79
2012,"M","23",169,78
2012,"M","24",172,77
2012,"M","25",176,76
2012,"M","26",182,75
2012,"M","27",188,74
2012,"M","28",194,73
2012,"M","29",200,72
2012,"M","30",204,71
2012,"M","31",208,70
2012,"M","32",210,69
2012,"M","33",209,68
2012,"M","34",205,67
2012,"M","35",199,66
2012,"M","36",190,65
2012,"M","37",181,64
2012,"M","38",175,63
2012,"M","39",172,62
2012,"M","40",172,61
2012,"M","41",175,60
2012,"M","42",179,59
2012,"M","43",182,58
2012,"M","44",185,57
2012,"M","45",186,56
2012,"M","46",187,55
2012,"M","47",187,54
2012,"M","48",186,53
2012,"M","49",184,52
2012,"M","50",181,51
2012,"M","51",177,50
2012,"M","52",174,49
2012,"M","53",171,48
2012,"M","54",168,47
2012,"M","55",165,46
2012,"M","56",163,45
2012,"M","57",159,44
2012,"M","58",154,43
2012,"M","59",145,42
2012,"M","60",134,41
2012,"M","61",120,40
2012,"M","62",107,39
2012,"M","63",97,38
2012,"M","64",89,37
2012,"M","65",84,36
2012,"M","66",82,35
2012,"M","67",81,34
2012,"M","68",79,33
2012,"M","69",77,32
2012,"M","70",73,31
2012,"M","71",69,30
2012,"M","72",64,29
2012,"M","73",60,28
2012,"M","74",56,27
2012,"M","75",52,26
2012,"M","76",49,25
2012,"M","77",45,24
2012,"M","78",42,23
2012,"M","79",38,22
2012,"M","80",35,21
2012,"M","81",32,20
2012,"M","82",28,19
2012,"M","83",25,18
2012,"M","84",22,17
2012,"M","85",19,16
2012,"M","86",17,15
2012,"M","87",14,14
2012,"M","88",12,13
2012,"M","89",10,12
2012,"M","90",8,11
2012,"M","91",7,10
2012,"M","92",5,9
2012,"M","93",4,8
2012,"M","94",3,7
2012,"M","95",2,6
2012,"M","96",2,5
2012,"M","97",1,4
2012,"M","98",1,3
2012,"M","99",1,2
2012,"M","100+",1,1
