"year","sex","ageGroup","population","order"
1979,"FM","0",194,101
1979,"FM","1",194,100
1979,"FM","2",193,99
1979,"FM","3",191,98
1979,"FM","4",188,97
1979,"FM","5",186,96
1979,"FM","6",186,95
1979,"FM","7",187,94
1979,"FM","8",189,93
1979,"FM","9",192,92
1979,"FM","10",196,91
1979,"FM","11",198,90
1979,"FM","12",201,89
1979,"FM","13",204,88
1979,"FM","14",204,87
1979,"FM","15",203,86
1979,"FM","16",202,85
1979,"FM","17",199,84
1979,"FM","18",196,83
1979,"FM","19",193,82
1979,"FM","20",191,81
1979,"FM","21",188,80
1979,"FM","22",186,79
1979,"FM","23",183,78
1979,"FM","24",180,77
1979,"FM","25",175,76
1979,"FM","26",168,75
1979,"FM","27",159,74
1979,"FM","28",149,73
1979,"FM","29",135,72
1979,"FM","30",124,71
1979,"FM","31",115,70
1979,"FM","32",107,69
1979,"FM","33",102,68
1979,"FM","34",98,67
1979,"FM","35",96,66
1979,"FM","36",94,65
1979,"FM","37",92,64
1979,"FM","38",92,63
1979,"FM","39",92,62
1979,"FM","40",92,61
1979,"FM","41",91,60
1979,"FM","42",89,59
1979,"FM","43",86,58
1979,"FM","44",83,57
1979,"FM","45",80,56
1979,"FM","46",77,55
1979,"FM","47",75,54
1979,"FM","48",73,53
1979,"FM","49",71,52
1979,"FM","50",69,51
1979,"FM","51",67,50
1979,"FM","52",64,49
1979,"FM","53",62,48
1979,"FM","54",59,47
1979,"FM","55",56,46
1979,"FM","56",53,45
1979,"FM","57",51,44
1979,"FM","58",48,43
1979,"FM","59",46,42
1979,"FM","60",43,41
1979,"FM","61",42,40
1979,"FM","62",40,39
1979,"FM","63",39,38
1979,"FM","64",38,37
1979,"FM","65",36,36
1979,"FM","66",34,35
1979,"FM","67",32,34
1979,"FM","68",29,33
1979,"FM","69",25,32
1979,"FM","70",22,31
1979,"FM","71",20,30
1979,"FM","72",18,29
1979,"FM","73",17,28
1979,"FM","74",16,27
1979,"FM","75",15,26
1979,"FM","76",14,25
1979,"FM","77",12,24
1979,"FM","78",11,23
1979,"FM","79",9,22
1979,"FM","80",8,21
1979,"FM","81",7,20
1979,"FM","82",6,19
1979,"FM","83",5,18
1979,"FM","84",4,17
1979,"FM","85",3,16
1979,"FM","86",3,15
1979,"FM","87",2,14
1979,"FM","88",2,13
1979,"FM","89",1,12
1979,"FM","90",1,11
1979,"FM","91",1,10
1979,"FM","92",1,9
1979,"FM","93",0,8
1979,"FM","94",0,7
1979,"FM","95",0,6
1979,"FM","96",0,5
1979,"FM","97",0,4
1979,"FM","98",0,3
1979,"FM","99",0,2
1979,"FM","100+",0,1
1979,"M","0",209,101
1979,"M","1",208,100
1979,"M","2",207,99
1979,"M","3",204,98
1979,"M","4",201,97
1979,"M","5",198,96
1979,"M","6",198,95
1979,"M","7",200,94
1979,"M","8",203,93
1979,"M","9",208,92
1979,"M","10",213,91
1979,"M","11",216,90
1979,"M","12",219,89
1979,"M","13",221,88
1979,"M","14",221,87
1979,"M","15",219,86
1979,"M","16",217,85
1979,"M","17",214,84
1979,"M","18",211,83
1979,"M","19",207,82
1979,"M","20",204,81
1979,"M","21",201,80
1979,"M","22",199,79
1979,"M","23",195,78
1979,"M","24",192,77
1979,"M","25",186,76
1979,"M","26",179,75
1979,"M","27",169,74
1979,"M","28",158,73
1979,"M","29",144,72
1979,"M","30",130,71
1979,"M","31",121,70
1979,"M","32",113,69
1979,"M","33",107,68
1979,"M","34",103,67
1979,"M","35",99,66
1979,"M","36",97,65
1979,"M","37",95,64
1979,"M","38",94,63
1979,"M","39",94,62
1979,"M","40",93,61
1979,"M","41",93,60
1979,"M","42",90,59
1979,"M","43",88,58
1979,"M","44",85,57
1979,"M","45",83,56
1979,"M","46",81,55
1979,"M","47",81,54
1979,"M","48",82,53
1979,"M","49",83,52
1979,"M","50",83,51
1979,"M","51",83,50
1979,"M","52",81,49
1979,"M","53",79,48
1979,"M","54",75,47
1979,"M","55",71,46
1979,"M","56",68,45
1979,"M","57",64,44
1979,"M","58",60,43
1979,"M","59",57,42
1979,"M","60",53,41
1979,"M","61",50,40
1979,"M","62",48,39
1979,"M","63",45,38
1979,"M","64",43,37
1979,"M","65",41,36
1979,"M","66",38,35
1979,"M","67",34,34
1979,"M","68",30,33
1979,"M","69",26,32
1979,"M","70",23,31
1979,"M","71",19,30
1979,"M","72",17,29
1979,"M","73",15,28
1979,"M","74",14,27
1979,"M","75",12,26
1979,"M","76",11,25
1979,"M","77",9,24
1979,"M","78",8,23
1979,"M","79",6,22
1979,"M","80",5,21
1979,"M","81",4,20
1979,"M","82",3,19
1979,"M","83",3,18
1979,"M","84",2,17
1979,"M","85",2,16
1979,"M","86",1,15
1979,"M","87",1,14
1979,"M","88",1,13
1979,"M","89",1,12
1979,"M","90",0,11
1979,"M","91",0,10
1979,"M","92",0,9
1979,"M","93",0,8
1979,"M","94",0,7
1979,"M","95",0,6
1979,"M","96",0,5
1979,"M","97",0,4
1979,"M","98",0,3
1979,"M","99",0,2
1979,"M","100+",0,1
