"year","sex","ageGroup","population","order"
2021,"FM","0",90,101
2021,"FM","1",91,100
2021,"FM","2",92,99
2021,"FM","3",96,98
2021,"FM","4",100,97
2021,"FM","5",103,96
2021,"FM","6",105,95
2021,"FM","7",104,94
2021,"FM","8",104,93
2021,"FM","9",101,92
2021,"FM","10",94,91
2021,"FM","11",92,90
2021,"FM","12",93,89
2021,"FM","13",94,88
2021,"FM","14",96,87
2021,"FM","15",99,86
2021,"FM","16",103,85
2021,"FM","17",108,84
2021,"FM","18",114,83
2021,"FM","19",122,82
2021,"FM","20",130,81
2021,"FM","21",138,80
2021,"FM","22",146,79
2021,"FM","23",151,78
2021,"FM","24",156,77
2021,"FM","25",159,76
2021,"FM","26",161,75
2021,"FM","27",162,74
2021,"FM","28",161,73
2021,"FM","29",161,72
2021,"FM","30",159,71
2021,"FM","31",158,70
2021,"FM","32",160,69
2021,"FM","33",163,68
2021,"FM","34",169,67
2021,"FM","35",177,66
2021,"FM","36",186,65
2021,"FM","37",194,64
2021,"FM","38",200,63
2021,"FM","39",206,62
2021,"FM","40",210,61
2021,"FM","41",212,60
2021,"FM","42",212,59
2021,"FM","43",209,58
2021,"FM","44",204,57
2021,"FM","45",196,56
2021,"FM","46",188,55
2021,"FM","47",182,54
2021,"FM","48",179,53
2021,"FM","49",178,52
2021,"FM","50",179,51
2021,"FM","51",182,50
2021,"FM","52",184,49
2021,"FM","53",185,48
2021,"FM","54",186,47
2021,"FM","55",187,46
2021,"FM","56",187,45
2021,"FM","57",186,44
2021,"FM","58",184,43
2021,"FM","59",181,42
2021,"FM","60",178,41
2021,"FM","61",175,40
2021,"FM","62",172,39
2021,"FM","63",169,38
2021,"FM","64",166,37
2021,"FM","65",164,36
2021,"FM","66",160,35
2021,"FM","67",154,34
2021,"FM","68",145,33
2021,"FM","69",134,32
2021,"FM","70",120,31
2021,"FM","71",107,30
2021,"FM","72",96,29
2021,"FM","73",87,28
2021,"FM","74",80,27
2021,"FM","75",76,26
2021,"FM","76",72,25
2021,"FM","77",69,24
2021,"FM","78",65,23
2021,"FM","79",61,22
2021,"FM","80",57,21
2021,"FM","81",52,20
2021,"FM","82",48,19
2021,"FM","83",44,18
2021,"FM","84",40,17
2021,"FM","85",36,16
2021,"FM","86",32,15
2021,"FM","87",28,14
2021,"FM","88",25,13
2021,"FM","89",22,12
2021,"FM","90",19,11
2021,"FM","91",16,10
2021,"FM","92",13,9
2021,"FM","93",11,8
2021,"FM","94",9,7
2021,"FM","95",7,6
2021,"FM","96",6,5
2021,"FM","97",4,4
2021,"FM","98",3,3
2021,"FM","99",2,2
2021,"FM","100+",5,1
2021,"M","0",96,101
2021,"M","1",97,100
2021,"M","2",99,99
2021,"M","3",103,98
2021,"M","4",108,97
2021,"M","5",111,96
2021,"M","6",113,95
2021,"M","7",112,94
2021,"M","8",112,93
2021,"M","9",109,92
2021,"M","10",102,91
2021,"M","11",100,90
2021,"M","12",101,89
2021,"M","13",103,88
2021,"M","14",105,87
2021,"M","15",108,86
2021,"M","16",112,85
2021,"M","17",117,84
2021,"M","18",124,83
2021,"M","19",132,82
2021,"M","20",140,81
2021,"M","21",149,80
2021,"M","22",157,79
2021,"M","23",163,78
2021,"M","24",167,77
2021,"M","25",170,76
2021,"M","26",172,75
2021,"M","27",173,74
2021,"M","28",173,73
2021,"M","29",173,72
2021,"M","30",172,71
2021,"M","31",171,70
2021,"M","32",172,69
2021,"M","33",175,68
2021,"M","34",179,67
2021,"M","35",185,66
2021,"M","36",191,65
2021,"M","37",196,64
2021,"M","38",201,63
2021,"M","39",205,62
2021,"M","40",208,61
2021,"M","41",209,60
2021,"M","42",208,59
2021,"M","43",203,58
2021,"M","44",196,57
2021,"M","45",187,56
2021,"M","46",178,55
2021,"M","47",172,54
2021,"M","48",168,53
2021,"M","49",168,52
2021,"M","50",170,51
2021,"M","51",173,50
2021,"M","52",176,49
2021,"M","53",178,48
2021,"M","54",178,47
2021,"M","55",178,46
2021,"M","56",177,45
2021,"M","57",175,44
2021,"M","58",173,43
2021,"M","59",170,42
2021,"M","60",166,41
2021,"M","61",161,40
2021,"M","62",158,39
2021,"M","63",154,38
2021,"M","64",151,37
2021,"M","65",148,36
2021,"M","66",144,35
2021,"M","67",138,34
2021,"M","68",129,33
2021,"M","69",118,32
2021,"M","70",105,31
2021,"M","71",92,30
2021,"M","72",82,29
2021,"M","73",74,28
2021,"M","74",69,27
2021,"M","75",66,26
2021,"M","76",64,25
2021,"M","77",61,24
2021,"M","78",58,23
2021,"M","79",53,22
2021,"M","80",48,21
2021,"M","81",43,20
2021,"M","82",39,19
2021,"M","83",34,18
2021,"M","84",30,17
2021,"M","85",26,16
2021,"M","86",22,15
2021,"M","87",19,14
2021,"M","88",16,13
2021,"M","89",14,12
2021,"M","90",11,11
2021,"M","91",9,10
2021,"M","92",7,9
2021,"M","93",5,8
2021,"M","94",4,7
2021,"M","95",3,6
2021,"M","96",2,5
2021,"M","97",2,4
2021,"M","98",1,3
2021,"M","99",1,2
2021,"M","100+",1,1
