"year","sex","ageGroup","population","order"
2009,"FM","0",93,101
2009,"FM","1",95,100
2009,"FM","2",97,99
2009,"FM","3",100,98
2009,"FM","4",104,97
2009,"FM","5",108,96
2009,"FM","6",114,95
2009,"FM","7",120,94
2009,"FM","8",128,93
2009,"FM","9",136,92
2009,"FM","10",142,91
2009,"FM","11",147,90
2009,"FM","12",151,89
2009,"FM","13",154,88
2009,"FM","14",155,87
2009,"FM","15",156,86
2009,"FM","16",155,85
2009,"FM","17",154,84
2009,"FM","18",153,83
2009,"FM","19",152,82
2009,"FM","20",153,81
2009,"FM","21",157,80
2009,"FM","22",163,79
2009,"FM","23",171,78
2009,"FM","24",180,77
2009,"FM","25",189,76
2009,"FM","26",196,75
2009,"FM","27",202,74
2009,"FM","28",206,73
2009,"FM","29",209,72
2009,"FM","30",210,71
2009,"FM","31",207,70
2009,"FM","32",202,69
2009,"FM","33",194,68
2009,"FM","34",187,67
2009,"FM","35",181,66
2009,"FM","36",179,65
2009,"FM","37",178,64
2009,"FM","38",180,63
2009,"FM","39",183,62
2009,"FM","40",186,61
2009,"FM","41",188,60
2009,"FM","42",189,59
2009,"FM","43",190,58
2009,"FM","44",191,57
2009,"FM","45",190,56
2009,"FM","46",189,55
2009,"FM","47",187,54
2009,"FM","48",184,53
2009,"FM","49",181,52
2009,"FM","50",178,51
2009,"FM","51",176,50
2009,"FM","52",174,49
2009,"FM","53",172,48
2009,"FM","54",169,47
2009,"FM","55",163,46
2009,"FM","56",155,45
2009,"FM","57",144,44
2009,"FM","58",131,43
2009,"FM","59",117,42
2009,"FM","60",106,41
2009,"FM","61",97,40
2009,"FM","62",91,39
2009,"FM","63",87,38
2009,"FM","64",84,37
2009,"FM","65",81,36
2009,"FM","66",78,35
2009,"FM","67",76,34
2009,"FM","68",73,33
2009,"FM","69",70,32
2009,"FM","70",67,31
2009,"FM","71",64,30
2009,"FM","72",61,29
2009,"FM","73",58,28
2009,"FM","74",55,27
2009,"FM","75",52,26
2009,"FM","76",49,25
2009,"FM","77",46,24
2009,"FM","78",43,23
2009,"FM","79",40,22
2009,"FM","80",38,21
2009,"FM","81",35,20
2009,"FM","82",32,19
2009,"FM","83",29,18
2009,"FM","84",26,17
2009,"FM","85",23,16
2009,"FM","86",20,15
2009,"FM","87",18,14
2009,"FM","88",15,13
2009,"FM","89",13,12
2009,"FM","90",11,11
2009,"FM","91",9,10
2009,"FM","92",8,9
2009,"FM","93",6,8
2009,"FM","94",5,7
2009,"FM","95",4,6
2009,"FM","96",3,5
2009,"FM","97",2,4
2009,"FM","98",2,3
2009,"FM","99",1,2
2009,"FM","100+",2,1
2009,"M","0",102,101
2009,"M","1",103,100
2009,"M","2",106,99
2009,"M","3",109,98
2009,"M","4",113,97
2009,"M","5",118,96
2009,"M","6",124,95
2009,"M","7",131,94
2009,"M","8",139,93
2009,"M","9",148,92
2009,"M","10",154,91
2009,"M","11",159,90
2009,"M","12",163,89
2009,"M","13",166,88
2009,"M","14",167,87
2009,"M","15",168,86
2009,"M","16",168,85
2009,"M","17",168,84
2009,"M","18",167,83
2009,"M","19",166,82
2009,"M","20",167,81
2009,"M","21",170,80
2009,"M","22",174,79
2009,"M","23",181,78
2009,"M","24",187,77
2009,"M","25",193,76
2009,"M","26",199,75
2009,"M","27",203,74
2009,"M","28",207,73
2009,"M","29",209,72
2009,"M","30",209,71
2009,"M","31",205,70
2009,"M","32",199,69
2009,"M","33",191,68
2009,"M","34",182,67
2009,"M","35",177,66
2009,"M","36",174,65
2009,"M","37",174,64
2009,"M","38",177,63
2009,"M","39",181,62
2009,"M","40",185,61
2009,"M","41",187,60
2009,"M","42",189,59
2009,"M","43",190,58
2009,"M","44",190,57
2009,"M","45",189,56
2009,"M","46",187,55
2009,"M","47",185,54
2009,"M","48",181,53
2009,"M","49",178,52
2009,"M","50",175,51
2009,"M","51",172,50
2009,"M","52",170,49
2009,"M","53",167,48
2009,"M","54",164,47
2009,"M","55",158,46
2009,"M","56",150,45
2009,"M","57",139,44
2009,"M","58",125,43
2009,"M","59",112,42
2009,"M","60",101,41
2009,"M","61",93,40
2009,"M","62",88,39
2009,"M","63",85,38
2009,"M","64",84,37
2009,"M","65",82,36
2009,"M","66",79,35
2009,"M","67",76,34
2009,"M","68",73,33
2009,"M","69",69,32
2009,"M","70",65,31
2009,"M","71",62,30
2009,"M","72",58,29
2009,"M","73",55,28
2009,"M","74",52,27
2009,"M","75",49,26
2009,"M","76",46,25
2009,"M","77",43,24
2009,"M","78",40,23
2009,"M","79",38,22
2009,"M","80",35,21
2009,"M","81",32,20
2009,"M","82",28,19
2009,"M","83",25,18
2009,"M","84",22,17
2009,"M","85",19,16
2009,"M","86",16,15
2009,"M","87",13,14
2009,"M","88",11,13
2009,"M","89",9,12
2009,"M","90",7,11
2009,"M","91",6,10
2009,"M","92",4,9
2009,"M","93",3,8
2009,"M","94",3,7
2009,"M","95",2,6
2009,"M","96",1,5
2009,"M","97",1,4
2009,"M","98",0,3
2009,"M","99",0,2
2009,"M","100+",0,1
