"year","sex","ageGroup","population","order"
1992,"FM","0",155,101
1992,"FM","1",151,100
1992,"FM","2",142,99
1992,"FM","3",142,98
1992,"FM","4",150,97
1992,"FM","5",157,96
1992,"FM","6",164,95
1992,"FM","7",171,94
1992,"FM","8",177,93
1992,"FM","9",183,92
1992,"FM","10",189,91
1992,"FM","11",194,90
1992,"FM","12",198,89
1992,"FM","13",200,88
1992,"FM","14",199,87
1992,"FM","15",196,86
1992,"FM","16",190,85
1992,"FM","17",184,84
1992,"FM","18",179,83
1992,"FM","19",176,82
1992,"FM","20",176,81
1992,"FM","21",179,80
1992,"FM","22",183,79
1992,"FM","23",187,78
1992,"FM","24",191,77
1992,"FM","25",193,76
1992,"FM","26",195,75
1992,"FM","27",196,74
1992,"FM","28",195,73
1992,"FM","29",195,72
1992,"FM","30",193,71
1992,"FM","31",190,70
1992,"FM","32",188,69
1992,"FM","33",185,68
1992,"FM","34",182,67
1992,"FM","35",180,66
1992,"FM","36",178,65
1992,"FM","37",176,64
1992,"FM","38",171,63
1992,"FM","39",164,62
1992,"FM","40",155,61
1992,"FM","41",143,60
1992,"FM","42",129,59
1992,"FM","43",117,58
1992,"FM","44",107,57
1992,"FM","45",99,56
1992,"FM","46",92,55
1992,"FM","47",88,54
1992,"FM","48",85,53
1992,"FM","49",83,52
1992,"FM","50",82,51
1992,"FM","51",83,50
1992,"FM","52",83,49
1992,"FM","53",84,48
1992,"FM","54",83,47
1992,"FM","55",81,46
1992,"FM","56",79,45
1992,"FM","57",76,44
1992,"FM","58",72,43
1992,"FM","59",70,42
1992,"FM","60",67,41
1992,"FM","61",65,40
1992,"FM","62",63,39
1992,"FM","63",60,38
1992,"FM","64",58,37
1992,"FM","65",56,36
1992,"FM","66",53,35
1992,"FM","67",50,34
1992,"FM","68",47,33
1992,"FM","69",44,32
1992,"FM","70",41,31
1992,"FM","71",38,30
1992,"FM","72",35,29
1992,"FM","73",32,28
1992,"FM","74",29,27
1992,"FM","75",27,26
1992,"FM","76",26,25
1992,"FM","77",24,24
1992,"FM","78",23,23
1992,"FM","79",20,22
1992,"FM","80",18,21
1992,"FM","81",15,20
1992,"FM","82",12,19
1992,"FM","83",9,18
1992,"FM","84",7,17
1992,"FM","85",5,16
1992,"FM","86",4,15
1992,"FM","87",4,14
1992,"FM","88",3,13
1992,"FM","89",3,12
1992,"FM","90",2,11
1992,"FM","91",2,10
1992,"FM","92",1,9
1992,"FM","93",1,8
1992,"FM","94",1,7
1992,"FM","95",1,6
1992,"FM","96",0,5
1992,"FM","97",0,4
1992,"FM","98",0,3
1992,"FM","99",0,2
1992,"FM","100+",0,1
1992,"M","0",170,101
1992,"M","1",167,100
1992,"M","2",161,99
1992,"M","3",161,98
1992,"M","4",168,97
1992,"M","5",175,96
1992,"M","6",181,95
1992,"M","7",187,94
1992,"M","8",193,93
1992,"M","9",199,92
1992,"M","10",204,91
1992,"M","11",209,90
1992,"M","12",213,89
1992,"M","13",215,88
1992,"M","14",214,87
1992,"M","15",209,86
1992,"M","16",202,85
1992,"M","17",195,84
1992,"M","18",189,83
1992,"M","19",186,82
1992,"M","20",187,81
1992,"M","21",192,80
1992,"M","22",199,79
1992,"M","23",205,78
1992,"M","24",209,77
1992,"M","25",212,76
1992,"M","26",213,75
1992,"M","27",213,74
1992,"M","28",211,73
1992,"M","29",209,72
1992,"M","30",207,71
1992,"M","31",204,70
1992,"M","32",201,69
1992,"M","33",197,68
1992,"M","34",195,67
1992,"M","35",192,66
1992,"M","36",190,65
1992,"M","37",187,64
1992,"M","38",182,63
1992,"M","39",175,62
1992,"M","40",165,61
1992,"M","41",152,60
1992,"M","42",138,59
1992,"M","43",125,58
1992,"M","44",114,57
1992,"M","45",105,56
1992,"M","46",98,55
1992,"M","47",93,54
1992,"M","48",89,53
1992,"M","49",86,52
1992,"M","50",85,51
1992,"M","51",84,50
1992,"M","52",84,49
1992,"M","53",84,48
1992,"M","54",83,47
1992,"M","55",82,46
1992,"M","56",80,45
1992,"M","57",78,44
1992,"M","58",77,43
1992,"M","59",77,42
1992,"M","60",78,41
1992,"M","61",80,40
1992,"M","62",82,39
1992,"M","63",83,38
1992,"M","64",82,37
1992,"M","65",79,36
1992,"M","66",75,35
1992,"M","67",70,34
1992,"M","68",64,33
1992,"M","69",59,32
1992,"M","70",53,31
1992,"M","71",48,30
1992,"M","72",42,29
1992,"M","73",38,28
1992,"M","74",34,27
1992,"M","75",31,26
1992,"M","76",28,25
1992,"M","77",26,24
1992,"M","78",24,23
1992,"M","79",21,22
1992,"M","80",18,21
1992,"M","81",14,20
1992,"M","82",10,19
1992,"M","83",7,18
1992,"M","84",5,17
1992,"M","85",3,16
1992,"M","86",3,15
1992,"M","87",2,14
1992,"M","88",2,13
1992,"M","89",2,12
1992,"M","90",2,11
1992,"M","91",1,10
1992,"M","92",1,9
1992,"M","93",1,8
1992,"M","94",0,7
1992,"M","95",0,6
1992,"M","96",0,5
1992,"M","97",0,4
1992,"M","98",0,3
1992,"M","99",0,2
1992,"M","100+",0,1
