"year","sex","ageGroup","population","order"
1965,"FM","0",215,101
1965,"FM","1",213,100
1965,"FM","2",210,99
1965,"FM","3",206,98
1965,"FM","4",202,97
1965,"FM","5",198,96
1965,"FM","6",196,95
1965,"FM","7",194,94
1965,"FM","8",191,93
1965,"FM","9",187,92
1965,"FM","10",183,91
1965,"FM","11",177,90
1965,"FM","12",170,89
1965,"FM","13",162,88
1965,"FM","14",153,87
1965,"FM","15",139,86
1965,"FM","16",128,85
1965,"FM","17",121,84
1965,"FM","18",114,83
1965,"FM","19",110,82
1965,"FM","20",107,81
1965,"FM","21",104,80
1965,"FM","22",102,79
1965,"FM","23",100,78
1965,"FM","24",99,77
1965,"FM","25",98,76
1965,"FM","26",98,75
1965,"FM","27",97,74
1965,"FM","28",95,73
1965,"FM","29",91,72
1965,"FM","30",88,71
1965,"FM","31",85,70
1965,"FM","32",82,69
1965,"FM","33",80,68
1965,"FM","34",78,67
1965,"FM","35",76,66
1965,"FM","36",74,65
1965,"FM","37",71,64
1965,"FM","38",69,63
1965,"FM","39",66,62
1965,"FM","40",63,61
1965,"FM","41",60,60
1965,"FM","42",57,59
1965,"FM","43",55,58
1965,"FM","44",53,57
1965,"FM","45",51,56
1965,"FM","46",50,55
1965,"FM","47",48,54
1965,"FM","48",46,53
1965,"FM","49",45,52
1965,"FM","50",43,51
1965,"FM","51",42,50
1965,"FM","52",40,49
1965,"FM","53",38,48
1965,"FM","54",36,47
1965,"FM","55",33,46
1965,"FM","56",31,45
1965,"FM","57",29,44
1965,"FM","58",27,43
1965,"FM","59",26,42
1965,"FM","60",25,41
1965,"FM","61",24,40
1965,"FM","62",23,39
1965,"FM","63",21,38
1965,"FM","64",19,37
1965,"FM","65",18,36
1965,"FM","66",16,35
1965,"FM","67",15,34
1965,"FM","68",14,33
1965,"FM","69",13,32
1965,"FM","70",12,31
1965,"FM","71",11,30
1965,"FM","72",10,29
1965,"FM","73",9,28
1965,"FM","74",8,27
1965,"FM","75",8,26
1965,"FM","76",7,25
1965,"FM","77",6,24
1965,"FM","78",5,23
1965,"FM","79",4,22
1965,"FM","80",4,21
1965,"FM","81",3,20
1965,"FM","82",3,19
1965,"FM","83",2,18
1965,"FM","84",2,17
1965,"FM","85",1,16
1965,"FM","86",1,15
1965,"FM","87",1,14
1965,"FM","88",1,13
1965,"FM","89",0,12
1965,"FM","90",0,11
1965,"FM","91",0,10
1965,"FM","92",0,9
1965,"FM","93",0,8
1965,"FM","94",0,7
1965,"FM","95",0,6
1965,"FM","96",0,5
1965,"FM","97",0,4
1965,"FM","98",0,3
1965,"FM","99",0,2
1965,"FM","100+",0,1
1965,"M","0",228,101
1965,"M","1",226,100
1965,"M","2",223,99
1965,"M","3",219,98
1965,"M","4",214,97
1965,"M","5",210,96
1965,"M","6",207,95
1965,"M","7",205,94
1965,"M","8",202,93
1965,"M","9",198,92
1965,"M","10",193,91
1965,"M","11",186,90
1965,"M","12",179,89
1965,"M","13",170,88
1965,"M","14",161,87
1965,"M","15",145,86
1965,"M","16",132,85
1965,"M","17",124,84
1965,"M","18",117,83
1965,"M","19",113,82
1965,"M","20",109,81
1965,"M","21",106,80
1965,"M","22",104,79
1965,"M","23",102,78
1965,"M","24",100,77
1965,"M","25",99,76
1965,"M","26",99,75
1965,"M","27",97,74
1965,"M","28",94,73
1965,"M","29",90,72
1965,"M","30",86,71
1965,"M","31",82,70
1965,"M","32",79,69
1965,"M","33",78,68
1965,"M","34",78,67
1965,"M","35",77,66
1965,"M","36",76,65
1965,"M","37",76,64
1965,"M","38",74,63
1965,"M","39",72,62
1965,"M","40",71,61
1965,"M","41",69,60
1965,"M","42",67,59
1965,"M","43",65,58
1965,"M","44",64,57
1965,"M","45",62,56
1965,"M","46",60,55
1965,"M","47",58,54
1965,"M","48",56,53
1965,"M","49",54,52
1965,"M","50",52,51
1965,"M","51",49,50
1965,"M","52",47,49
1965,"M","53",44,48
1965,"M","54",41,47
1965,"M","55",38,46
1965,"M","56",35,45
1965,"M","57",32,44
1965,"M","58",30,43
1965,"M","59",28,42
1965,"M","60",26,41
1965,"M","61",24,40
1965,"M","62",23,39
1965,"M","63",20,38
1965,"M","64",18,37
1965,"M","65",16,36
1965,"M","66",14,35
1965,"M","67",12,34
1965,"M","68",11,33
1965,"M","69",10,32
1965,"M","70",9,31
1965,"M","71",8,30
1965,"M","72",7,29
1965,"M","73",6,28
1965,"M","74",5,27
1965,"M","75",4,26
1965,"M","76",4,25
1965,"M","77",3,24
1965,"M","78",2,23
1965,"M","79",2,22
1965,"M","80",1,21
1965,"M","81",1,20
1965,"M","82",1,19
1965,"M","83",1,18
1965,"M","84",0,17
1965,"M","85",0,16
1965,"M","86",0,15
1965,"M","87",0,14
1965,"M","88",0,13
1965,"M","89",0,12
1965,"M","90",0,11
1965,"M","91",0,10
1965,"M","92",0,9
1965,"M","93",0,8
1965,"M","94",0,7
1965,"M","95",0,6
1965,"M","96",0,5
1965,"M","97",0,4
1965,"M","98",0,3
1965,"M","99",0,2
1965,"M","100+",0,1
