"year","sex","ageGroup","population","order"
2081,"FM","0",59,101
2081,"FM","1",60,100
2081,"FM","2",60,99
2081,"FM","3",61,98
2081,"FM","4",61,97
2081,"FM","5",61,96
2081,"FM","6",62,95
2081,"FM","7",63,94
2081,"FM","8",64,93
2081,"FM","9",65,92
2081,"FM","10",65,91
2081,"FM","11",66,90
2081,"FM","12",66,89
2081,"FM","13",67,88
2081,"FM","14",68,87
2081,"FM","15",68,86
2081,"FM","16",69,85
2081,"FM","17",70,84
2081,"FM","18",70,83
2081,"FM","19",71,82
2081,"FM","20",72,81
2081,"FM","21",73,80
2081,"FM","22",74,79
2081,"FM","23",74,78
2081,"FM","24",75,77
2081,"FM","25",76,76
2081,"FM","26",77,75
2081,"FM","27",78,74
2081,"FM","28",78,73
2081,"FM","29",79,72
2081,"FM","30",79,71
2081,"FM","31",79,70
2081,"FM","32",79,69
2081,"FM","33",80,68
2081,"FM","34",80,67
2081,"FM","35",80,66
2081,"FM","36",81,65
2081,"FM","37",81,64
2081,"FM","38",82,63
2081,"FM","39",83,62
2081,"FM","40",84,61
2081,"FM","41",85,60
2081,"FM","42",86,59
2081,"FM","43",88,58
2081,"FM","44",89,57
2081,"FM","45",91,56
2081,"FM","46",93,55
2081,"FM","47",94,54
2081,"FM","48",96,53
2081,"FM","49",97,52
2081,"FM","50",98,51
2081,"FM","51",98,50
2081,"FM","52",99,49
2081,"FM","53",99,48
2081,"FM","54",100,47
2081,"FM","55",100,46
2081,"FM","56",100,45
2081,"FM","57",100,44
2081,"FM","58",99,43
2081,"FM","59",99,42
2081,"FM","60",99,41
2081,"FM","61",99,40
2081,"FM","62",101,39
2081,"FM","63",104,38
2081,"FM","64",108,37
2081,"FM","65",111,36
2081,"FM","66",112,35
2081,"FM","67",111,34
2081,"FM","68",110,33
2081,"FM","69",107,32
2081,"FM","70",100,31
2081,"FM","71",97,30
2081,"FM","72",97,29
2081,"FM","73",98,28
2081,"FM","74",99,27
2081,"FM","75",101,26
2081,"FM","76",103,25
2081,"FM","77",107,24
2081,"FM","78",111,23
2081,"FM","79",115,22
2081,"FM","80",121,21
2081,"FM","81",125,20
2081,"FM","82",128,19
2081,"FM","83",129,18
2081,"FM","84",129,17
2081,"FM","85",127,16
2081,"FM","86",123,15
2081,"FM","87",118,14
2081,"FM","88",113,13
2081,"FM","89",106,12
2081,"FM","90",99,11
2081,"FM","91",91,10
2081,"FM","92",85,9
2081,"FM","93",79,8
2081,"FM","94",74,7
2081,"FM","95",69,6
2081,"FM","96",63,5
2081,"FM","97",56,4
2081,"FM","98",49,3
2081,"FM","99",41,2
2081,"FM","100+",129,1
2081,"M","0",63,101
2081,"M","1",63,100
2081,"M","2",64,99
2081,"M","3",64,98
2081,"M","4",65,97
2081,"M","5",65,96
2081,"M","6",66,95
2081,"M","7",67,94
2081,"M","8",68,93
2081,"M","9",68,92
2081,"M","10",69,91
2081,"M","11",70,90
2081,"M","12",70,89
2081,"M","13",71,88
2081,"M","14",72,87
2081,"M","15",72,86
2081,"M","16",73,85
2081,"M","17",74,84
2081,"M","18",74,83
2081,"M","19",75,82
2081,"M","20",76,81
2081,"M","21",77,80
2081,"M","22",77,79
2081,"M","23",78,78
2081,"M","24",79,77
2081,"M","25",80,76
2081,"M","26",81,75
2081,"M","27",82,74
2081,"M","28",82,73
2081,"M","29",82,72
2081,"M","30",83,71
2081,"M","31",83,70
2081,"M","32",83,69
2081,"M","33",84,68
2081,"M","34",84,67
2081,"M","35",84,66
2081,"M","36",85,65
2081,"M","37",85,64
2081,"M","38",85,63
2081,"M","39",86,62
2081,"M","40",87,61
2081,"M","41",89,60
2081,"M","42",90,59
2081,"M","43",92,58
2081,"M","44",93,57
2081,"M","45",95,56
2081,"M","46",97,55
2081,"M","47",98,54
2081,"M","48",99,53
2081,"M","49",100,52
2081,"M","50",101,51
2081,"M","51",102,50
2081,"M","52",102,49
2081,"M","53",103,48
2081,"M","54",103,47
2081,"M","55",103,46
2081,"M","56",103,45
2081,"M","57",103,44
2081,"M","58",102,43
2081,"M","59",102,42
2081,"M","60",101,41
2081,"M","61",102,40
2081,"M","62",103,39
2081,"M","63",106,38
2081,"M","64",110,37
2081,"M","65",112,36
2081,"M","66",113,35
2081,"M","67",112,34
2081,"M","68",111,33
2081,"M","69",107,32
2081,"M","70",100,31
2081,"M","71",97,30
2081,"M","72",97,29
2081,"M","73",97,28
2081,"M","74",98,27
2081,"M","75",99,26
2081,"M","76",100,25
2081,"M","77",102,24
2081,"M","78",105,23
2081,"M","79",109,22
2081,"M","80",112,21
2081,"M","81",115,20
2081,"M","82",116,19
2081,"M","83",115,18
2081,"M","84",112,17
2081,"M","85",108,16
2081,"M","86",103,15
2081,"M","87",97,14
2081,"M","88",90,13
2081,"M","89",82,12
2081,"M","90",74,11
2081,"M","91",66,10
2081,"M","92",59,9
2081,"M","93",52,8
2081,"M","94",45,7
2081,"M","95",39,6
2081,"M","96",33,5
2081,"M","97",27,4
2081,"M","98",21,3
2081,"M","99",16,2
2081,"M","100+",37,1
